# timestamp tx ty tz qx qy qz qw
1403636581.213556 0.7813833 0.4483605 0.1508836 0.8069362 -0.0264753 0.5898323 0.0158401
1403636581.313555 0.7793010 0.4473879 0.1894622 0.7968264 -0.0268772 0.6034432 0.0141958
1403636581.413555 0.7789027 0.4460014 0.1976791 0.7928791 -0.0257143 0.6085990 0.0169923
1403636581.513556 0.7757206 0.4453778 0.1753134 0.7976919 -0.0232052 0.6021796 0.0229982
1403636581.613555 0.7732668 0.4428779 0.1233350 0.8042859 -0.0245551 0.5933987 0.0199798
1403636581.713556 0.7715310 0.4389527 0.0601994 0.8083566 -0.0235466 0.5879790 0.0169054
1403636581.813555 0.7680044 0.4363713 -0.0065245 0.8087203 -0.0223037 0.5876437 0.0121989
1403636581.913555 0.7641574 0.4354170 -0.0737821 0.8113676 -0.0233671 0.5840022 0.0088319
1403636582.013556 0.7596567 0.4351735 -0.1358374 0.8199825 -0.0269738 0.5716864 0.0087060
1403636582.113555 0.7542534 0.4393206 -0.1856329 0.8319309 -0.0233856 0.5543593 0.0054657
1403636582.213556 0.7479595 0.4453204 -0.2112224 0.8414620 -0.0162671 0.5400541 -0.0043154
1403636582.313555 0.7475879 0.4497577 -0.2008382 0.8457157 -0.0094488 0.5334002 -0.0126450
1403636582.413555 0.7479620 0.4533771 -0.1583920 0.8423065 -0.0054350 0.5386306 -0.0191647
1403636582.513556 0.7522172 0.4537337 -0.0978874 0.8348127 -0.0053646 0.5502499 -0.0168521
1403636582.613555 0.7583540 0.4521321 -0.0314730 0.8288108 -0.0100606 0.5594046 -0.0061571
1403636582.713556 0.7617126 0.4495006 0.0345767 0.8247550 -0.0124672 0.5653431 -0.0032999
1403636582.813555 0.7659221 0.4443630 0.1000497 0.8194151 -0.0181841 0.5729054 -0.0027534
1403636582.913555 0.7694052 0.4379585 0.1627143 0.8100085 -0.0262231 0.5858316 -0.0000968
1403636583.013556 0.7691130 0.4336105 0.2104740 0.7994991 -0.0285634 0.5999842 0.0020820
1403636583.113555 0.7675081 0.4301667 0.2294832 0.7940871 -0.0265400 0.6072160 0.0031600
1403636583.213556 0.7673982 0.4286201 0.2152835 0.7949195 -0.0242446 0.6061903 0.0069697
1403636583.313555 0.7671785 0.4277137 0.1734805 0.7962462 -0.0220569 0.6045493 0.0050559
1403636583.413555 0.7679301 0.4268417 0.1169364 0.7986974 -0.0196596 0.6014101 0.0013786
1403636583.513556 0.7679104 0.4248563 0.0489038 0.8026667 -0.0143781 0.5962522 -0.0016977
1403636583.613555 0.7675382 0.4235881 -0.0213638 0.8085697 -0.0110168 0.5882969 -0.0006521
1403636583.713556 0.7651532 0.4260756 -0.0894797 0.8201223 -0.0113883 0.5719995 -0.0092943
